pincode,circle,region,division,offices
382460,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Dhandhuka SO, Adval BO, Bajarda BO, Chhasiana BO, Gunjar BO, Jaliya BO, Khadol BO, Kharad BO, Khasta BO, Kothadia BO, Mota Tradia BO, Padana BO, Rayka BO, Rojka BO, Vasna BO, Zanzarka BO, Aniali Bhimji BO, Salasar BO"
382463,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Bhadiad SO, Ambli BO, Gogla BO, Gorasu BO, Kadipur BO, Otaria BO, Otaria Sarvodaya Ashram BO, Sangasar BO, Sodhi BO, Valinda BO"
382465,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Fedra SO, Buranpur BO, Dhanala BO, Fatepur BO, Gamph BO, Kamiala BO, Kasindra BO, Loliya BO, Panchham BO, Pipli BO, Shela BO"
382470,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Digvijaynagar SO, Jagatpur BO, Kali BO, Tragad BO"
382475,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Sardarnagar SO
382480,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,Ranip SO
382481,Gujarat Circle,Ahmedabad HQ Region,Ahmedabad City Division,"Chandlodia SO, Dr Baou SO, Nirnaynagar SO, Gota BO"
382610,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Pethapur SO, Pindarda BO, Piplaj BO"
382620,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Randheja SO
382630,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,Rupal SO
382640,Gujarat Circle,Ahmedabad HQ Region,Gandhinagar Division,"Sardhav SO, Adrajmoti BO"
